Nombre,Language,Foil,Qty,Edición,Estado,Precio unitario (Jul-21),Enlace,Comentarios,Valor Total,,,
Damping Sphere,EN,,1,Dominaria,NM,1,https://www.cardmarket.com/es/Magic/Products/Singles/Dominaria/Damping-Sphere?sellerCountry=10,,1,Pool,,,,,
Terminate,EN,,1,Alara Reborn,EX,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Alara-Reborn/Terminate?sellerCountry=10,,0.2,Pool,,,,,
Dreadbore,EN,,1,Vuelta a Ravnica,NM,2,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Dreadbore?sellerCountry=10,,2,Pool,,,,,
Dreadbore,ES,,1,Archenemy: Nicol Bolas,NM,2.5,https://www.cardmarket.com/es/Magic/Products/Singles/Archenemy-Nicol-Bolas/Dreadbore?sellerCountry=10,,2.5,Pool,,,,,
Kitchen Finks,EN,,2,Páramo Sombrío,NM,0.5,https://www.cardmarket.com/es/Magic/Products/Singles/Shadowmoor/Kitchen-Finks?sellerCountry=10,,1,Pool,,,,,
"Ashiok, Dream Render",ES,,2,La Guerra de la Chispa,NM,0.9,https://www.cardmarket.com/es/Magic/Products/Singles/War-of-the-Spark/Ashiok-Dream-Render?sellerCountry=10,,1.8,Pool,,,,,
Maelstrom Pulse,EN,,1,Ultimate Masters,NM,2,https://www.cardmarket.com/es/Magic/Products/Singles/Ultimate-Masters/Maelstrom-Pulse?sellerCountry=10,,2,Pool,,,,,
Mandato de Kólagan,EN,,1,Dragones de Tarkir,NM,8,https://www.cardmarket.com/es/Magic/Products/Singles/Dragons-of-Tarkir/Kolaghan-s-Command?sellerCountry=10,,8,Pool,,,,,
Fulminator Mage,EN,,2,Modern Masters 2015,NM,2.5,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Masters-2015/Fulminator-Mage?sellerCountry=10,,5,Pool,,,,,
Fulminator Mage,EN,,1,Páramo Sombrío,NM,2.5,https://www.cardmarket.com/es/Magic/Products/Singles/Shadowmoor/Fulminator-Mage?sellerCountry=10,,2.5,Pool,,,,,
Abrupt Decay,EN,,2,Vuelta a Ravnica,NM,5,https://www.cardmarket.com/es/Magic/Products/Singles/Return-to-Ravnica/Abrupt-Decay?sellerCountry=10,,10,Pool,,,,,
Bloodbraid Elf,EN,,2,Eternal Masters,NM,1,https://www.cardmarket.com/es/Magic/Products/Singles/Eternal-Masters/Bloodbraid-Elf?sellerCountry=10,,2,Pool,,,,,
Bloodbraid Elf,EN,,1,Alara Reborn,NM,1,https://www.cardmarket.com/es/Magic/Products/Singles/Eternal-Masters/Bloodbraid-Elf?sellerCountry=10,,1,Pool,,,,,
Bloodbraid Elf,EN,,1,Planechase 2012,NM,1.5,https://www.cardmarket.com/es/Magic/Products/Singles/Eternal-Masters/Bloodbraid-Elf?sellerCountry=10,,1.5,Pool,,,,,
"Valki, God of Lies",EN,Sí,3,Kaldheim,NM,24,https://www.cardmarket.com/es/Magic/Products/Singles/Kaldheim/Valki-God-of-Lies-Tibalt-Cosmic-Impostor?sellerCountry=10&isFoil=Y,,72,Pool,,,,,
"Valki, God of Lies",ES,Sí,1,Kaldheim,NM,24,https://www.cardmarket.com/es/Magic/Products/Singles/Kaldheim/Valki-God-of-Lies-Tibalt-Cosmic-Impostor?sellerCountry=10&isFoil=Y,,24,Pool,,,,,
Wrenn and Six,ES,,3,Modern Horizons,NM,75,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons/Wrenn-and-Six?sellerCountry=10,,225,Pool,,,,,
Abrade,EN,,2,Double Masters,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Double-Masters/Abrade?sellerCountry=10,,0.3,Pool,,,,,
Pia y Kiran Nalaar,EN,,1,Magic Orígenes,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-Origins/Pia-and-Kiran-Nalaar?sellerCountry=10,,0.15,Pool,,,,,
Pia y Kiran Nalaar,ES,,1,Magic Orígenes,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-Origins/Pia-and-Kiran-Nalaar?sellerCountry=10,,0.15,Pool,,,,,
Hazoret the Fervent,EN,,2,Amonkhet,NM,2,https://www.cardmarket.com/es/Magic/Products/Singles/Amonkhet/Hazoret-the-Fervent?sellerCountry=10,,4,Pool,,,,,
Bonecrusher Giant,EN,,1,Throne of Eldraine,NM,0.8,https://www.cardmarket.com/es/Magic/Products/Singles/Throne-of-Eldraine/Bonecrusher-Giant-Stomp?sellerCountry=10,,0.8,Pool,,,,,
Magmatic Channeler,EN,,2,El resurgir de Zendikar: Extras,NM,1.5,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar-Rising-Extras/Magmatic-Channeler?sellerCountry=10,Full Art,3,Pool,,,,,
Magmatic Channeler,EN,Sí,2,El resurgir de Zendikar,NM,1.5,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar-Rising/Magmatic-Channeler?sellerCountry=10,,3,Pool,,,,,
"Chandra, Torch of Defiance",EN,,1,Signature Spellbook: Chandra,NM,4,https://www.cardmarket.com/es/Magic/Products/Singles/Signature-Spellbook-Chandra/Chandra-Torch-of-Defiance?sellerCountry=10,,4,Pool,,,,,
Seasoned Pyromancer,EN,,4,Horizontes de Modern,NM,31,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons/Seasoned-Pyromancer?sellerCountry=10,,124,Pool,,,,,
Grim Lavamancer,EN,,2,Double Masters,NM,0.85,https://www.cardmarket.com/es/Magic/Products/Singles/Double-Masters/Grim-Lavamancer?sellerCountry=10,,1.7,Pool,,,,,
Cleansing Wildfire,EN,,2,El resurgir de Zendikar,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar-Rising/Cleansing-Wildfire?sellerCountry=10,,0.3,Pool,,,,,
Anger of the Gods,EN,,1,Teros,NM,1,https://www.cardmarket.com/es/Magic/Products/Singles/Theros/Anger-of-the-Gods?sellerCountry=10,,1,Pool,,,,,
Temur Battle Rage,EN,Sí,4,Double Masters,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Double-Masters/Temur-Battle-Rage?sellerCountry=10&isFoil=Y,,0.8,Pool,,,,,
Dismember,ES,,2,Nueva Phyrexia,NM,1.5,https://www.cardmarket.com/es/Magic/Products/Singles/New-Phyrexia/Dismember?sellerCountry=10,,3,Pool,,,,,
Fatal Push,EN,Sí,4,Friday Night Magic Promos,NM,1.5,https://www.cardmarket.com/es/Magic/Products/Singles/Friday-Night-Magic-Promos/Fatal-Push?sellerCountry=10,,6,Pool,,,,,
Feed the Swarm,EN,,3,El resurgir de Zendikar,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Zendikar-Rising/Feed-the-Swarm?sellerCountry=10,,0.45,Pool,,,,,
Thoughtseize ,EN,,1,Theros,NM,14.5,https://www.cardmarket.com/es/Magic/Products/Singles/Theros/Thoughtseize?sellerCountry=10,,14.5,Pool,,,,,
Plague Engineer,EN,,1,Horizontes de Modern,NM,4,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons/Plague-Engineer?sellerCountry=10,,4,Pool,,,,,
Plague Engineer,ES,,1,Horizontes de Modern,NM,4,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons/Plague-Engineer?sellerCountry=10,,4,Pool,,,,,
Blood Moon,EN,,3,Modern Masters,NM,12,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Masters/Blood-Moon?sellerCountry=10,,36,Pool,,,,,
Leyline of the Void,EN,,3,Magic 2020,NM,4.5,https://www.cardmarket.com/es/Magic/Products/Singles/Core-2020/Leyline-of-the-Void?sellerCountry=10,,13.5,Pool,,,,,
Cling to Dust,EN,,2,Theros Beyond Death,NM,0.15,https://www.cardmarket.com/es/Magic/Products/Singles/Theros-Beyond-Death/Cling-to-Dust?sellerCountry=10,,0.3,Pool,,,,,
Liliana of the Veil,EN,,3,Innistrad,NM,60,https://www.cardmarket.com/es/Magic/Products/Singles/Innistrad/Liliana-of-the-Veil?sellerCountry=10,,180,Pool,,,,,
Liliana of the Veil,EN,,1,Modern Masters 2017,NM,60,https://www.cardmarket.com/es/Magic/Products/Singles/Innistrad/Liliana-of-the-Veil?sellerCountry=10,,60,Pool,,,,,
Collector Ouphe,EN,,2,Horizontes de Modern,NM,3.75,https://www.cardmarket.com/es/Magic/Products/Singles/Modern-Horizons/Collector-Ouphe?sellerCountry=10,,7.5,Pool,,,,,
Obstinate Baloth,EN,,1,Magic 2011,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Obstinate-Baloth?sellerCountry=10&isFoil=Y,,0.4,Pool,,,,,
Obstinate Baloth,ES,,1,Magic 2011,NM,0.4,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Obstinate-Baloth?sellerCountry=10&isFoil=Y,,0.4,Pool,,,,,
Obstinate Baloth,ES,Sí,1,Magic 2011,NM,4,https://www.cardmarket.com/es/Magic/Products/Singles/Magic-2011/Obstinate-Baloth?sellerCountry=10&isFoil=Y,,4,Pool,,,,,
Unravel the Aether,ES,,1,Born of the Gods,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Born-of-the-Gods/Unravel-the-Aether?sellerCountry=10,,0.2,Pool,,,,,
Unravel the Aether,EN,,1,Born of the Gods,NM,0.2,https://www.cardmarket.com/es/Magic/Products/Singles/Born-of-the-Gods/Unravel-the-Aether?sellerCountry=10,,0.2,Pool,,,,,
